label readme_filename
0 ../collection/data/readmes/astropy.md
0 ../collection/data/readmes/google-interview-university.md
0 ../collection/data/readmes/the-art-of-command-line.md
0 ../collection/data/readmes/clipboard.js.md
0 ../collection/data/readmes/react.md
0 ../collection/data/readmes/linux-insides.md
0 ../collection/data/readmes/opendata.cern.ch.md
0 ../collection/data/readmes/electron.atom.io.md
0 ../collection/data/readmes/discourse.md
0 ../collection/data/readmes/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers.md
0 ../collection/data/readmes/gotty.md
0 ../collection/data/readmes/angular.js.md
0 ../collection/data/readmes/reveal.js.md
0 ../collection/data/readmes/free-programming-books.md
0 ../collection/data/readmes/data-science-ipython-notebooks.md
0 ../collection/data/readmes/hackathon-starter.md
0 ../collection/data/readmes/what-happens-when.md
0 ../collection/data/readmes/lists.md
0 ../collection/data/readmes/open_exoplanet_catalogue.md
0 ../collection/data/readmes/congressional-districts.md
0 ../collection/data/readmes/smartmin.md
0 ../collection/data/readmes/free-for-dev.md
0 ../collection/data/readmes/emcee.md
0 ../collection/data/readmes/thefuck.md
0 ../collection/data/readmes/big-list-of-naughty-strings.md
0 ../collection/data/readmes/tensorflow.md
0 ../collection/data/readmes/You-Dont-Know-JS.md
0 ../collection/data/readmes/dragula.md
0 ../collection/data/readmes/go.md
0 ../collection/data/readmes/awesome.md
0 ../collection/data/readmes/FreeCodeCamp.md
0 ../collection/data/readmes/d3.md
0 ../collection/data/readmes/data.md
0 ../collection/data/readmes/awesome-public-datasets.md
0 ../collection/data/readmes/awesome-machine-learning.md
0 ../collection/data/readmes/javascript.md
0 ../collection/data/readmes/bootstrap.md
0 ../collection/data/readmes/congress-legislators.md
1 ../collection/dev/readmes/spring-loaded.md
1 ../collection/dev/readmes/Theano.md
1 ../collection/dev/readmes/sympy.md
1 ../collection/dev/readmes/Inquirer.js.md
1 ../collection/dev/readmes/chokidar.md
1 ../collection/dev/readmes/react.md
1 ../collection/dev/readmes/spring-security.md
1 ../collection/dev/readmes/node-github.md
1 ../collection/dev/readmes/cython.md
1 ../collection/dev/readmes/node-fs-extra.md
1 ../collection/dev/readmes/nltk.md
1 ../collection/dev/readmes/nock.md
1 ../collection/dev/readmes/dubbo.md
1 ../collection/dev/readmes/nodegit.md
1 ../collection/dev/readmes/angular.js.md
1 ../collection/dev/readmes/react-native.md
1 ../collection/dev/readmes/numpy.md
1 ../collection/dev/readmes/react-router.md
1 ../collection/dev/readmes/guava.md
1 ../collection/dev/readmes/shelljs.md
1 ../collection/dev/readmes/statsmodels.md
1 ../collection/dev/readmes/spring-framework.md
1 ../collection/dev/readmes/awesome-java.md
1 ../collection/dev/readmes/spring-boot.md
1 ../collection/dev/readmes/commander.js.md
1 ../collection/dev/readmes/clui.md
1 ../collection/dev/readmes/babel.md
1 ../collection/dev/readmes/Hystrix.md
1 ../collection/dev/readmes/webpack.md
1 ../collection/dev/readmes/matplotlib.md
1 ../collection/dev/readmes/spark.md
1 ../collection/dev/readmes/pandas.md
1 ../collection/dev/readmes/scikit-learn.md
1 ../collection/dev/readmes/scipy.md
1 ../collection/dev/readmes/flux.md
1 ../collection/dev/readmes/electron.md
1 ../collection/dev/readmes/js-git.md
